logP0_crit           	m1iso_crit        	phases_crit	logP0_hub            	m1iso_hub         	phases_hub	logP0_RHeRL          	m1iso_RHeRL       	logP0_critL2        	m1iso_critL2      	logP0_hubL2        	m1iso_hubL2       	logP0_RHeRL          	m1iso_RHeRL       	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN   	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN      	m1iso_PmergeMIN   	q_band             	mtot_band         	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes          	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2        	q_yesL2            
1.4016803422450357   	2.594881115355723 	 /         	1.4358615108091553   	4.197593341759334 	 /        	3.00056526807054     	2.235683749648897 	1.4196862125104972  	3.337669771100085 	1.464736792345996  	6.454223896909264 	3.103778300663564    	3.116968962686107 	5.8151    	5.794201602707829 	5.802645188142905 	4.854    	4.1719 	 /       	2.580936242675912    	3.1432254359095193	 /                 	 /                	 /      	3.63              	0.6278026905829597 	2.23              	3.286355893948297  	0.6278026905829597 	4.99              	0.38997214484679665	3.59              	3.286355893948297  	0.38997214484679665
1.5520794325802587   	2.4401934114524866	 /         	1.5870424623049255   	3.9859208417708314	 /        	2.986355893948297    	2.2398945052816206	1.5696262947878616  	3.117874547935282 	1.6151633928704552 	6.030764114525569 	3.086355893948297    	3.125519838482437 	5.8123    	5.794556101265175 	5.802711586246406 	4.8496   	4.1176 	 /       	2.5700483631532243   	3.15              	 /                 	 /                	 /      	3.67              	0.6167400881057268 	2.27              	3.286355893948297  	0.6167400881057268 	5.029999999999999 	0.3856749311294766 	3.63              	3.286355893948297  	0.3856749311294766 
1.698208481810668    	2.3067476759273613	 /         	1.733852020453177    	3.8010389099179758	 /        	2.9431231263877957   	2.2527068929757994	1.7153328325818156  	2.9300719550101455	1.7612981109326238 	5.672375149089605 	3.058873926934835    	3.139007213194615 	5.8106    	5.795587871071365 	5.803212388062217 	4.8425   	4.0642 	 /       	2.479553896052822    	3.266497502630656 	 /                 	 /                	 /      	3.71              	0.606060606060606  	2.31              	3.286355893948297  	0.606060606060606  	5.07              	0.3814713896457766 	3.67              	3.286355893948297  	0.3814713896457766 
1.8493657086871218   	2.182725927393558 	 /         	1.8856614723264062   	3.6280784522336162	 /        	2.886355893948297    	2.2695294778350017	1.866073391331353   	2.757043809963221 	1.9124634255651891 	5.346374184827139 	3.0364738951970667   	3.15              	5.8078    	5.796842568630045 	5.8034083587972916	4.8337   	4.012  	 /       	2.386355893948297    	3.334746173519575 	 /                 	 /                	 /      	3.75              	0.5957446808510638 	2.35              	3.286355893948297  	0.5957446808510638 	5.109999999999999 	0.3773584905660377 	3.71              	3.286355893948297  	0.3773584905660377 
1.99398222859094     	2.0755175469250893	 /         	2.0308562379020545   	3.477546580978128 	 /        	2.8856802077373076   	2.2697297255156044	2.0103095873553305  	2.608654774231947 	2.0570847103911145 	5.06942485513101  	3.0142887137442353   	3.1611731279183752	5.8058    	5.796857119227254 	5.803457917919393 	4.8234   	3.9577 	 /       	2.360770631669182    	3.3680184221511063	 /                 	 /                	 /      	3.79              	0.5857740585774058 	2.39              	3.286355893948297  	0.5857740585774058 	5.15              	0.3733333333333333 	3.75              	3.286355893948297  	0.3733333333333333 
2.143733495839542    	1.9784140140724078	 /         	2.181030966113557    	3.335081638809716 	 /        	2.8847681937467433   	2.27              	2.159699039274905   	2.475205909933887 	2.2067042544978794 	4.812830336347773 	2.986355893948297    	3.175240288351463 	5.8047    	5.7968767348699   	5.803700083798096 	4.8121   	3.9055 	 /       	2.3147220448556514   	3.4               	 /                 	 /                	 /      	3.83              	0.5761316872427983 	2.43              	3.286355893948297  	0.5761316872427983 	4.75              	0.41791044776119396	3.35              	2.686355893948297  	0.41791044776119396
2.295976327870018    	1.8799705886674847	 /         	2.3339792413495917   	3.202074153845441 	 /        	2.8291142866402827   	2.2871033570767945	2.3115570275055566  	2.3408499410441137	2.359123295917217  	4.577973576392895 	2.9700212877509977   	3.1834661575210803	5.8035    	5.798023112548127 	5.8041953504787935	4.7977   	3.8508 	 /       	2.2542881741897034   	3.484915350301758 	 /                 	 /                	 /      	3.8699999999999997	0.5668016194331984 	2.4699999999999998	3.286355893948297  	0.5668016194331984 	4.79              	0.41297935103244837	3.39              	2.686355893948297  	0.41297935103244837
2.4418268027787753   	1.7798747653027662	 /         	2.481001568324076    	3.084257968934812 	 /        	2.786355893948297    	2.300243154910483 	2.456996223027782   	2.2052139745737116	2.505666411102914  	4.373533521445224 	2.9570461256778953   	3.19              	5.8032    	5.798839042335896 	5.80469223687877  	4.78     	3.7945 	 /       	2.186355893948297    	3.5374105243584975	 /                 	 /                	 /      	3.9099999999999997	0.5577689243027889 	2.51              	3.286355893948297  	0.5577689243027889 	4.83              	0.40816326530612235	3.43              	2.686355893948297  	0.40816326530612235
2.5914220215635      	1.69175029770899  	 /         	2.631516995195853    	2.9727155439780057	 /        	2.7725618063944615   	2.304482364978466 	2.6062114605165916  	2.086624141220826 	2.65571966872494   	4.183061415176942 	2.9261979258620623   	3.205936812765506 	5.8023    	5.799090930338182 	5.805046039007545 	4.758    	3.7391 	 /       	2.141938505363465    	3.59447826426896  	 /                 	 /                	 /      	3.9499999999999997	0.5490196078431373 	2.55              	3.286355893948297  	0.5490196078431373 	4.87              	0.4034582132564841 	3.47              	2.686355893948297  	0.4034582132564841 
2.79794995391591     	3.581692264192222 	 /         	2.7821343348839824   	2.869387042617937 	 /        	2.754607163011288    	2.31              	2.8182682135808172  	4.792720590169376 	2.8059023788167923 	4.00928630929306  	2.886355893948297    	3.2265192178969753	5.7992    	5.799470117473605 	5.80570479744492  	4.7236   	3.6794 	 /       	2.049061547710167    	3.65              	 /                 	 /                	 /      	3.9899999999999998	0.5405405405405405 	2.59              	3.286355893948297  	0.5405405405405405 	4.91              	0.39886039886039887	3.51              	2.686355893948297  	0.39886039886039887
