logP0_crit         	m1iso_crit        	phases_crit	logP0_hub          	m1iso_hub         	phases_hub	logP0_RHeRL        	m1iso_RHeRL       	logP0_critL2       	m1iso_critL2      	logP0_hubL2        	m1iso_hubL2       	logP0_RHeRL        	m1iso_RHeRL       	logP0_critL2_DEF 	m1iso_critL2_DEF	logP0_hubL2_DEF 	m1iso_hubL2_DEF 	logP0_RHeRLL2_DEF  	m1iso_RHeRLL2_DEF 	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band             	mtot_band        	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes          	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2        	q_yesL2            	mtot_yesL2_DEF  	qfin_yesL2_DEF   	m1_yesL2_DEF    	logP0_yesL2_DEF  	q_yesL2_DEF      
1.7617813915851754 	3.3871060997796887	 /         	1.8167807171899202 	7.33701677561281  	 /        	3.183042530387307  	3.5500000000000003	1.7765787796589612 	4.178084632733915 	1.9930967123212022 	9.697501938263025 	3.2018176180437754 	4.505105668091285 	1.776544951217096  	4.17609648184895  	2.647606723384195 	4.17609648184895  	3.2018176180437754 	4.5166460198402   	17.4371   	17.415967344065567	 /             	5.5662   	4.1672 	 /       	 /             	 /             	 /                 	 /               	 /      	19.9865282417543  	0.24631266446532904	3.95              	3.6018176180437753 	4.059880567532733  	20.55124702037169 	0.2763761089044688 	4.45              	3.6018176180437753 	3.6182577573868966 	20.55124702037169 	0.2763761089044688 	4.45              	3.6018176180437753 	3.6182577573868966 
1.9111911541061444 	3.040604147319269 	 /         	1.9692291842011684 	6.890587874366944 	 /        	3.1351402826348633 	3.5833226645910883	1.925188657064301  	3.7163168911219553	2.1335208201651685 	9.0848035064254   	3.178740318690147  	4.526922700646373 	1.925151080130891  	3.714335371571643 	2.7380825827729125	3.714335371571643 	3.184668837574647  	4.532851219530872 	17.4368   	17.41687039813982 	 /             	5.5658   	4.1163 	 /       	 /             	 /             	 /                 	 /               	 /      	20.100133085507657	0.2523343562588224 	4.050000000000001 	3.6018176180437753 	3.962995823582137  	20.66326742915841 	0.282375999778069  	4.550000000000001 	3.6018176180437753 	3.5413774569578917 	20.66326742915841 	0.282375999778069  	4.550000000000001 	3.6018176180437753 	3.5413774569578917 
2.049159249324504  	2.7479423246526253	 /         	2.110258700319764  	6.525986089642594 	 /        	3.1018176180437753 	3.6065093447256573	2.0624193760537    	3.331159340886175 	2.278423771071148  	8.532171302819336 	3.1543357398207683 	4.550000000000001 	2.062380043546458  	3.3292801319872725	2.8224435224194164	3.3292801319872725	3.1665258518807873 	4.550000000000001 	17.4349   	17.417630578217572	 /             	5.5646   	4.0637 	 /       	 /             	 /             	 /                 	 /               	 /      	20.21339283563431 	0.25835139826711   	4.15              	3.6018176180437753 	3.8706970688275435 	20.775009050034825	0.288371931176681  	4.65              	3.6018176180437753 	3.4677438817279187 	20.775009050034825	0.288371931176681  	4.65              	3.6018176180437753 	3.4677438817279187 
2.1912129893749066 	2.4699202227176964	 /         	2.255737956530955  	6.190249214685197 	 /        	3.076152793724477  	3.6243351756807014	2.203712849753489  	2.9695400560066867	2.4296998210225262 	8.025717580689156 	3.127916967940815  	4.57609934989704  	2.203673506951396  	2.9678410550279755	2.909921964618918 	2.9678410550279755	3.1339648872851247 	4.58214726924135  	17.4321   	17.41834877634176 	 /             	5.563    	4.0151 	 /       	 /             	 /             	 /                 	 /               	 /      	20.326322511218326	0.26436394250204176	4.250000000000001 	3.6018176180437753 	3.7826641202866638 	20.886482849616232	0.29436402246186927	4.750000000000001 	3.6018176180437753 	3.3971542841297326 	20.886482849616232	0.29436402246186927	4.750000000000001 	3.6018176180437753 	3.3971542841297326 
2.3392492798902724 	2.2051210175931684	 /         	2.4075701993619862 	5.8767337991192266	 /        	3.0392192758222345 	3.65              	2.3509634145140486 	2.6291478728940385	2.5771082761964568 	7.588209761432062 	3.1018176180437753 	4.601889175255241 	2.3509260245599415 	2.6276932615491537	3.0017081661239406	2.6276932615491537	3.1018176180437753 	4.613893556946736 	17.4278   	17.419333199511378	 /             	5.5612   	3.9649 	 /       	 /             	 /             	 /                 	 /               	 /      	20.438936176395302	0.27037213351508305	4.3500000000000005	3.6018176180437753 	3.6986060175621374 	20.99769916627704 	0.30035238767197076	4.8500000000000005	3.6018176180437753 	3.3294225085107296 	20.99769916627704 	0.30035238767197076	4.8500000000000005	3.6018176180437753 	3.3294225085107296 
2.483685658174108  	1.9824337304789648	 /         	2.55548375522706   	5.601388521931773 	 /        	3.0176570111085455 	3.6658393930647697	2.494686182049733  	2.346069852560198 	2.723837524048777  	7.199115229049795 	3.0776038669101746 	4.625786248866399 	2.49465227000359   	2.344870494884753 	3.091850550557435 	2.344870494884753 	3.0836399173940663 	4.631822299350291 	17.4255   	17.41988267460315 	 /             	5.5592   	3.9125 	 /       	 /             	 /             	 /                 	 /               	 /      	20.55124702037169 	0.2763761089044688 	4.45              	3.6018176180437753 	3.6182577573868966 	21.108667757580186	0.306337135849452  	4.950000000000001 	3.6018176180437753 	3.2643773247636734 	21.108667757580186	0.306337135849452  	4.950000000000001 	3.6018176180437753 	3.2643773247636734 
2.627731280140241  	1.7925847633416763	 /         	2.702683036593447  	5.352921239846686 	 /        	3.0018176180437757 	3.677480158655712 	2.638080407690795  	2.1071398595603714	2.8639981807485198 	6.863402597759772 	3.053078841283507  	4.65              	2.6380510058609414 	2.106187524009793 	3.1819487517039167	2.106187524009793 	3.06521703875881   	4.65              	17.423    	17.420274706834793	 /             	5.556    	3.8613 	 /       	 /             	 /             	 /                 	 /               	 /      	20.252039333348595	0.21254889472759134	3.5500000000000003	3.5018176180437757 	4.7047998122108705 	21.21939784327698 	0.3123183713424259 	5.050000000000001 	3.6018176180437753 	3.201860959064748  	21.21939784327698 	0.3123183713424259 	5.050000000000001 	3.6018176180437753 	3.201860959064748  
2.7651268924108923 	1.6239098121692777	 /         	2.8432668725039947 	5.135816966883648 	 /        	2.9600689858966573 	3.7082513678528817	2.774860144416437  	1.8968035711179068	3.016339512701613  	6.533386598314835 	3.0278324567101436 	4.676014838666369 	2.774836056556873  	1.8960864511926647	3.2683626085848703	1.8960864511926647	3.033979645553155  	4.68216202750938  	17.4224   	17.421069630955078	 /             	5.5509   	3.8098 	 /       	 /             	 /             	 /                 	 /               	 /      	20.365364515937962	0.21836197448878575	3.65              	3.5018176180437757 	4.579551922174784  	21.32989814436811 	0.31829619408281695	5.15              	3.6018176180437753 	3.141727795022933  	21.32989814436811 	0.31829619408281695	5.15              	3.6018176180437753 	3.141727795022933  
2.9146494955325406 	1.463545728843214 	 /         	2.9960410843810674 	4.919870496147438 	 /        	2.90344629943484   	3.75              	2.9237611700230164 	1.6986127312558457	3.1562210278494702 	6.258459238331959 	3.0018176180437757 	4.702831764705094 	2.923743303058852  	1.6981250063552404	3.3626309984135965	1.6981250063552404	3.0018176180437757 	4.715288759595554 	17.4209   	17.421650028272833	 /             	5.5448   	3.7604 	 /       	 /             	 /             	 /                 	 /               	 /      	20.478323396031637	0.22417070206148637	3.75              	3.5018176180437757 	4.46088623894177   	21.440176918653936	0.324270699843377  	5.250000000000001 	3.6018176180437753 	3.0838432226007493 	21.440176918653936	0.324270699843377  	5.250000000000001 	3.6018176180437753 	3.0838432226007493 
3.0526585250750005 	1.3469218880277911	 /         	3.1362967782047795 	4.738017102294504 	 /        	2.90253045342176   	3.7507128353779846	3.0612938266726766 	1.5556232614476342	3.301515840880822  	5.9966553813007195	2.978634004586281  	4.726816386542506 	3.0612811598276273 	1.5553001833089333	3.44952558248652  	1.5553001833089333	2.9847497930357245 	4.73293217499195  	17.4172   	17.42165900812536 	 /             	5.5353   	3.7061 	 /       	 /             	 /             	 /                 	 /               	 /      	20.590933424463177	0.22997522912157786	3.85              	3.5018176180437757 	4.34829439596446   	21.55024199314864 	0.3302419804755144 	5.3500000000000005	3.6018176180437753 	3.028082615541801  	21.55024199314864 	0.3302419804755144 	5.3500000000000005	3.6018176180437753 	3.028082615541801  
